Country,Year,"Literate World Population","Illiterate World Population"
World,1800,119240334.7,870577970.6
World,1820,130388702.8,951972607.2
World,1870,262232571.4,1137046044
World,1880,289427247.9,1185101639
World,1890,319483739.4,1237731043
World,1900,353170253.9,1296829746
World,1910,462798033.6,1287201966
World,1920,588190835.9,1271809164
World,1930,673321929.8,1396678070
World,1940,963222160.3,1336777840
World,1950,908027943.4,1617121369
World,1960,1256246063,1762097765
World,1970,2048295955,1634191736
World,1980,2488527759,1951104706
World,1990,3623893254,1685774445
World,1999,4952842413,1096362790
World,2004,5272680218,1167162190
World,2014,6197479274,1068306672
