Country,Year,"Post Secondary","Upper Secondary","Lower Secondary",Primary,"Incomplete Primary","No Education","Under 15"
World,1970,101463580,307645270,294393410,533866870,213280670,852015980,1378077120
World,1975,135628950,390703720,364304800,586138040,228487940,862538720,1491606470
World,1980,176871540,483938060,448134810,640271120,245332730,873344840,1566251150
World,1985,224795020,577295870,548682060,687326790,255128620,864490330,1638973460
World,1990,283065550,691635730,666263600,758138630,275026930,879361350,1731434510
World,1995,349531600,809166470,777572130,797401340,286206620,869366360,1814459130
World,2000,422580680,946740810,893735000,842728860,299523480,850174500,1844169670
World,2005,510662140,1106682320,1027531630,875914110,308032070,822837920,1830582280
World,2010,615180850,1269257460,1134045170,901162550,317158190,791487880,1842570290
World,2015,725515860,1431279740,1213698370,932093060,316235420,767773610,1861324360
World,2020,841773220,1599479250,1286056000,959392850,311966080,735182870,1877883560
World,2025,964758420,1781898440,1352650500,977636500,304035770,699301030,1869447820
World,2030,1097776660,1967258220,1398926380,988411050,293437280,658831430,1851474260
World,2035,1238213320,2151416190,1429380710,991923800,279390720,614799900,1825883240
World,2040,1384584580,2330335990,1439555670,987071070,262153540,567742670,1800754230
World,2045,1534818550,2500439400,1430480610,974382440,242455830,518400690,1775514920
World,2050,1687504650,2662071370,1405137960,954848230,221028780,467789970,1742014720
World,2055,1842202100,2813669770,1363876040,928681710,198584800,416617210,1697956420
World,2060,1997952550,2951568840,1307475100,896070530,175710120,365850250,1646217430
World,2065,2152448970,3070878840,1238889100,858360520,153222450,317076220,1593543010
World,2070,2303099730,3169710610,1161186400,815871650,131637550,271305630,1544352660
World,2075,2448118720,3246239220,1078237660,769687340,111536110,229290390,1497102810
World,2080,2585896770,3301586190,993850220,720590500,93415230,191423350,1447838720
World,2085,2716254720,3337871210,910458820,669495260,77491230,157889630,1394355270
World,2090,2840013610,3354746270,829613350,617123750,63684200,128703230,1339248550
World,2095,2956467880,3351886890,752398340,564414940,51825950,103661910,1285690470
World,2100,3064321300,3330483540,679798360,512570980,41796360,82633990,1236630000
